Instructions:											
Don't Edit	This column will autocomplete as you type.  It uses Column A on the "People" sheet as reference.	Required if the author does not have a description, otherwise optional.  If there is significant book description that goes beyond author description, it's worth entering here.		Required if the author does not have date / place data, otherwise optional.  Fill them out if the data is significant, in light of the author data.				For Reference	For Reference	For Reference	For Reference
Metzudat David on I Samuel	David Altschuler							Metzudat David on I Sam.,Metzudat David on 1Sam.,Metzudat David on First Samuel,Metzudat David on Shmuel Aleph,Metzudat David on 1Sam,Metzudat David on I Shmuel,Metzudat David on Samuel I,Metzudat David on Shmuel I,Metzudat David on 1 Samuel,Metzudat David on I Sam,Metzudat David on I Shemuel	מצודת דוד על שמואל א	מצודת דוד על ש״א,מצודת דוד על ש"א,מצודת דוד על שמואל א׳,מצודת דוד על שמואל א'	Commentary,Tanach,Prophets,I Samuel
Metzudat David on II Chronicles	David Altschuler							Metzudat David on 2 Chronicles,Metzudat David on II Divrei HaYamim,Metzudat David on Second Chronicles,Metzudat David on 2 Chron,Metzudat David on 2 Chron.,Metzudat David on 2Ch.,Metzudat David on II Chr.,Metzudat David on Chronicles II,Metzudat David on 2Ch,Metzudat David on II Chr,Metzudat David on 2 Chr,Metzudat David on Divrei HaYamim II,Metzudat David on Divrei HaYamim Bet,Metzudat David on II Divrei Ha-yamim,Metzudat David on II Divrei Ha-Yamim	מצודת דוד על דברי הימים ב	מצודת דוד על דברי הימים ב׳,מצודת דוד על דברי הימים ב'	Commentary,Tanach,Writings,II Chronicles
Metzudat David on II Kings	David Altschuler							Metzudat David on Melachim Bet,Metzudat David on Melachim II,Metzudat David on Second Kings,Metzudat David on 2 Kings,Metzudat David on II Melachim,Metzudat David on Kings II,Metzudat David on II Melakhim	מצודת דוד על מלכים ב	מצודת דוד על מ"ב,מצודת דוד על מ״ב,מצודת דוד על מלכים ב׳,מצודת דוד על מלכים ב'	Commentary,Tanach,Prophets,II Kings
Metzudat David on II Samuel	David Altschuler							Metzudat David on 2Sam,Metzudat David on Second Samuel,Metzudat David on Shmuel Bet,Metzudat David on Shmuel II,Metzudat David on Samuel II,Metzudat David on 2 Sam,Metzudat David on II Shmuel,Metzudat David on II Sam.,Metzudat David on II Sam,Metzudat David on 2Sam.,Metzudat David on 2 Samuel,Metzudat David on II Shemuel	מצודת דוד על שמואל ב	מצודת דוד על ש״ב,מצודת דוד על ש"ב,מצודת דוד על שמואל ב׳,מצודת דוד על שמואל ב'	Commentary,Tanach,Prophets,II Samuel
Metzudat David on Isaiah	David Altschuler							Metzudat David on Isa.,Metzudat David on Yishayahu,Metzudat David on Isa	מצודת דוד על ישעיהו	מצודת דוד על ישעיה	Commentary,Tanach,Prophets,Isaiah
Metzudat David on Jeremiah	David Altschuler							Metzudat David on Yirmiyahu,Metzudat David on Jer,Metzudat David on Jer.	מצודת דוד על ירמיהו	מצודת דוד על ירמיה	Commentary,Tanach,Prophets,Jeremiah
Metzudat David on Job	David Altschuler							Metzudat David on Iyov	מצודת דוד על איוב		Commentary,Tanach,Writings,Job
Metzudat David on Joel	David Altschuler							Metzudat David on Yoel	מצודת דוד על יואל		Commentary,Tanach,Prophets,Joel
Metzudat David on Jonah	David Altschuler							Metzudat David on Yonah,Metzudat David on Jon.,Metzudat David on Jon	מצודת דוד על יונה		Commentary,Tanach,Prophets,Jonah
Metzudat David on Joshua	David Altschuler							Metzudat David on Jos,Metzudat David on Yehoshua,Metzudat David on Jos.,Metzudat David on Josh,Metzudat David on Josh.	מצודת דוד על יהושע		Commentary,Tanach,Prophets,Joshua
Metzudat David on Judges	David Altschuler							Metzudat David on Shoftim,Metzudat David on Jdg,Metzudat David on Judg,Metzudat David on Jdg.,Metzudat David on Judg.	מצודת דוד על שופטים		Commentary,Tanach,Prophets,Judges
Metzudat David on Malachi	David Altschuler							Metzudat David on Mal.,Metzudat David on Mal	מצודת דוד על מלאכי		Commentary,Tanach,Prophets,Malachi
Metzudat David on Micah	David Altschuler							Metzudat David on Mic.,Metzudat David on Mic,Metzudat David on Mikha	מצודת דוד על מיכה		Commentary,Tanach,Prophets,Micah
Metzudat David on Nahum	David Altschuler							Metzudat David on Nah.,Metzudat David on Nah	מצודת דוד על נחום		Commentary,Tanach,Prophets,Nahum
Metzudat David on Nehemiah	David Altschuler							Metzudat David on Neh.,Metzudat David on Neh	מצודת דוד על נחמיה		Commentary,Tanach,Writings,Nehemiah
Metzudat David on Obadiah	David Altschuler							Metzudat David on Ovadiah	מצודת דוד על עובדיה		Commentary,Tanach,Prophets,Obadiah
Metzudat David on Proverbs	David Altschuler							Metzudat David on Prov,Metzudat David on Pro,Metzudat David on Prov.,Metzudat David on Mishlei,Metzudat David on Pro.	מצודת דוד על משלי		Commentary,Tanach,Writings,Proverbs
Metzudat David on Psalms	David Altschuler							Metzudat David on Ps,Metzudat David on Ps.,Metzudat David on Psa,Metzudat David on Tehilim,Metzudat David on Psa.,Metzudat David on Psalm,Metzudat David on Tehillim	מצודת דוד על תהילים	מצודת דוד על תהלים	Commentary,Tanach,Writings,Psalms
Metzudat David on Song of Songs	David Altschuler							Metzudat David on Shir HaShirim,Metzudat David on Canticles,Metzudat David on Song.,Metzudat David on Song	מצודת דוד על שיר השירים		Commentary,Tanach,Writings,Song of Songs
Metzudat David on Zechariah	David Altschuler							Metzudat David on Zech.,Metzudat David on Zech,Metzudat David on Zachariah,Metzudat David on Zekharia,Metzudat David on Zekharya	מצודת דוד על זכריה		Commentary,Tanach,Prophets,Zechariah
Metzudat David on Zephaniah	David Altschuler							Metzudat David on Zeph.,Metzudat David on Tzephaniah,Metzudat David on Zeph	מצודת דוד על צפניה		Commentary,Tanach,Prophets,Zephaniah
Metzudat Zion on Amos	David Altschuler								מצודת ציון על עמוס		Commentary,Tanach,Prophets,Amos
Metzudat Zion on Daniel	David Altschuler							Metzudat Zion on Dan.,Metzudat Zion on Dan	מצודת ציון על דניאל		Commentary,Tanach,Writings,Daniel
Metzudat Zion on Ecclesiastes	David Altschuler							Metzudat Zion on Eccles.,Metzudat Zion on Ecc,Metzudat Zion on Kohelet,Metzudat Zion on Ecc.	מצודת ציון על קהלת		Commentary,Tanach,Writings,Ecclesiastes
Metzudat Zion on Ezekiel	David Altschuler							Metzudat Zion on Ezek,Metzudat Zion on Ezek.,Metzudat Zion on Yehezkel,Metzudat Zion on Yechezkel	מצודת ציון על יחזקאל		Commentary,Tanach,Prophets,Ezekiel
Metzudat Zion on Ezra	David Altschuler							Metzudat Zion on Ezr.,Metzudat Zion on Ezr	מצודת ציון על עזרא		Commentary,Tanach,Writings,Ezra
Metzudat Zion on Habakkuk	David Altschuler							Metzudat Zion on Hab.,Metzudat Zion on Hab,Metzudat Zion on Havakkuk,Metzudat Zion on Habakuk	מצודת ציון על חבקוק		Commentary,Tanach,Prophets,Habakkuk
Metzudat Zion on Haggai	David Altschuler							Metzudat Zion on Chaggai,Metzudat Zion on Hag,Metzudat Zion on Hag.	מצודת ציון על חגי		Commentary,Tanach,Prophets,Haggai
Metzudat Zion on Hosea	David Altschuler							Metzudat Zion on Hos.,Metzudat Zion on Hos,Metzudat Zion on Hoshea	מצודת ציון על הושע		Commentary,Tanach,Prophets,Hosea
Metzudat Zion on I Chronicles	David Altschuler							Metzudat Zion on 1 Chronicles,Metzudat Zion on 1Ch.,Metzudat Zion on 1 Chron,Metzudat Zion on 1 Chr,Metzudat Zion on Chronicles I,Metzudat Zion on I Chr,Metzudat Zion on 1 Chron.,Metzudat Zion on I Chr.,Metzudat Zion on I Divrei HaYamim,Metzudat Zion on Divrei HaYamim I,Metzudat Zion on Divrei HaYamim Aleph,Metzudat Zion on First Chronicles,Metzudat Zion on 1Ch,Metzudat Zion on I Divrei Ha-yamim,Metzudat Zion on I Divrei Ha-Yamim	מצודת ציון על דברי הימים א	מצודת ציון על דברי הימים א׳,מצודת ציון על דברי בימים א'	Commentary,Tanach,Writings,I Chronicles
Metzudat Zion on I Kings	David Altschuler							Metzudat Zion on I Melachim,Metzudat Zion on Melachim Aleph,Metzudat Zion on Kings I,Metzudat Zion on Melachim I,Metzudat Zion on 1 Kings,Metzudat Zion on First Kings,Metzudat Zion on I Melakhim	מצודת ציון על מלכים א	מצודת ציון על מ״א,מצודת ציון על מ"א,מצודת ציון על מלכים א׳,מצודת ציון על מלכים א'	Commentary,Tanach,Prophets,I Kings
Metzudat Zion on I Samuel	David Altschuler							Metzudat Zion on I Sam.,Metzudat Zion on 1Sam.,Metzudat Zion on First Samuel,Metzudat Zion on Shmuel Aleph,Metzudat Zion on 1Sam,Metzudat Zion on I Shmuel,Metzudat Zion on Samuel I,Metzudat Zion on Shmuel I,Metzudat Zion on 1 Samuel,Metzudat Zion on I Sam,Metzudat Zion on I Shemuel	מצודת ציון על שמואל א	מצודת ציון על ש״א,מצודת ציון על ש"א,מצודת ציון על שמואל א׳,מצודת ציון על שמואל א'	Commentary,Tanach,Prophets,I Samuel
Metzudat Zion on II Chronicles	David Altschuler							Metzudat Zion on 2 Chronicles,Metzudat Zion on II Divrei HaYamim,Metzudat Zion on Second Chronicles,Metzudat Zion on 2 Chron,Metzudat Zion on 2 Chron.,Metzudat Zion on 2Ch.,Metzudat Zion on II Chr.,Metzudat Zion on Chronicles II,Metzudat Zion on 2Ch,Metzudat Zion on II Chr,Metzudat Zion on 2 Chr,Metzudat Zion on Divrei HaYamim II,Metzudat Zion on Divrei HaYamim Bet,Metzudat Zion on II Divrei Ha-yamim,Metzudat Zion on II Divrei Ha-Yamim	מצודת ציון על דברי הימים ב	מצודת ציון על דברי הימים ב׳,מצודת ציון על דברי הימים ב'	Commentary,Tanach,Writings,II Chronicles
Metzudat Zion on II Kings	David Altschuler							Metzudat Zion on Melachim Bet,Metzudat Zion on Melachim II,Metzudat Zion on Second Kings,Metzudat Zion on 2 Kings,Metzudat Zion on II Melachim,Metzudat Zion on Kings II,Metzudat Zion on II Melakhim	מצודת ציון על מלכים ב	מצודת ציון על מ"ב,מצודת ציון על מ״ב,מצודת ציון על מלכים ב׳,מצודת ציון על מלכים ב'	Commentary,Tanach,Prophets,II Kings
Metzudat Zion on II Samuel	David Altschuler							Metzudat Zion on 2Sam,Metzudat Zion on Second Samuel,Metzudat Zion on Shmuel Bet,Metzudat Zion on Shmuel II,Metzudat Zion on Samuel II,Metzudat Zion on 2 Sam,Metzudat Zion on II Shmuel,Metzudat Zion on II Sam.,Metzudat Zion on II Sam,Metzudat Zion on 2Sam.,Metzudat Zion on 2 Samuel,Metzudat Zion on II Shemuel	מצודת ציון על שמואל ב	מצודת ציון על ש״ב,מצודת ציון על ש"ב,מצודת ציון על שמואל ב׳,מצודת ציון על שמואל ב'	Commentary,Tanach,Prophets,II Samuel
Metzudat Zion on Isaiah	David Altschuler							Metzudat Zion on Isa.,Metzudat Zion on Yishayahu,Metzudat Zion on Isa	מצודת ציון על ישעיהו	מצודת ציון על ישעיה	Commentary,Tanach,Prophets,Isaiah
Metzudat Zion on Jeremiah	David Altschuler							Metzudat Zion on Yirmiyahu,Metzudat Zion on Jer,Metzudat Zion on Jer.	מצודת ציון על ירמיהו	מצודת ציון על ירמיה	Commentary,Tanach,Prophets,Jeremiah
Metzudat Zion on Job	David Altschuler							Metzudat Zion on Iyov	מצודת ציון על איוב		Commentary,Tanach,Writings,Job
Metzudat Zion on Joel	David Altschuler							Metzudat Zion on Yoel	מצודת ציון על יואל		Commentary,Tanach,Prophets,Joel
Metzudat Zion on Jonah	David Altschuler							Metzudat Zion on Yonah,Metzudat Zion on Jon.,Metzudat Zion on Jon	מצודת ציון על יונה		Commentary,Tanach,Prophets,Jonah
Metzudat Zion on Joshua	David Altschuler							Metzudat Zion on Jos,Metzudat Zion on Yehoshua,Metzudat Zion on Jos.,Metzudat Zion on Josh,Metzudat Zion on Josh.	מצודת ציון על יהושע		Commentary,Tanach,Prophets,Joshua
Metzudat Zion on Judges	David Altschuler							Metzudat Zion on Shoftim,Metzudat Zion on Jdg,Metzudat Zion on Judg,Metzudat Zion on Jdg.,Metzudat Zion on Judg.	מצודת ציון על שופטים		Commentary,Tanach,Prophets,Judges
Metzudat Zion on Malachi	David Altschuler							Metzudat Zion on Mal.,Metzudat Zion on Mal	מצודת ציון על מלאכי		Commentary,Tanach,Prophets,Malachi
Metzudat Zion on Micah	David Altschuler							Metzudat Zion on Mic.,Metzudat Zion on Mic,Metzudat Zion on Mikha	מצודת ציון על מיכה		Commentary,Tanach,Prophets,Micah
Metzudat Zion on Nahum	David Altschuler							Metzudat Zion on Nah.,Metzudat Zion on Nah	מצודת ציון על נחום		Commentary,Tanach,Prophets,Nahum
Metzudat Zion on Nehemiah	David Altschuler							Metzudat Zion on Neh.,Metzudat Zion on Neh	מצודת ציון על נחמיה		Commentary,Tanach,Writings,Nehemiah
Metzudat Zion on Obadiah	David Altschuler							Metzudat Zion on Ovadiah	מצודת ציון על עובדיה		Commentary,Tanach,Prophets,Obadiah
Metzudat Zion on Proverbs	David Altschuler							Metzudat Zion on Prov,Metzudat Zion on Pro,Metzudat Zion on Prov.,Metzudat Zion on Mishlei,Metzudat Zion on Pro.	מצודת ציון על משלי		Commentary,Tanach,Writings,Proverbs
Metzudat Zion on Psalms	David Altschuler							Metzudat Zion on Ps,Metzudat Zion on Ps.,Metzudat Zion on Psa,Metzudat Zion on Tehilim,Metzudat Zion on Psa.,Metzudat Zion on Psalm,Metzudat Zion on Tehillim	מצודת ציון על תהילים	מצודת ציון על תהלים	Commentary,Tanach,Writings,Psalms
Metzudat Zion on Song of Songs	David Altschuler							Metzudat Zion on Shir HaShirim,Metzudat Zion on Canticles,Metzudat Zion on Song.,Metzudat Zion on Song	מצודת ציון על שיר השירים		Commentary,Tanach,Writings,Song of Songs
Metzudat Zion on Zechariah	David Altschuler							Metzudat Zion on Zech.,Metzudat Zion on Zech,Metzudat Zion on Zachariah,Metzudat Zion on Zekharia,Metzudat Zion on Zekharya	מצודת ציון על זכריה		Commentary,Tanach,Prophets,Zechariah
Metzudat Zion on Zephaniah	David Altschuler							Metzudat Zion on Zeph.,Metzudat Zion on Tzephaniah,Metzudat Zion on Zeph	מצודת ציון על צפניה		Commentary,Tanach,Prophets,Zephaniah
Or HaChaim on Deuteronomy	Chaim ibn Attar							Or Hachaim on Deu.,Or Hachaim on Devarim,Or Hachaim on Deu,Or Hachaim on Deut.,Or Hachaim on Deut,Or Hachaim on Deuteronomy,Or HaChaim on Deu.,Or HaChaim on Devarim,Or HaChaim on Deu,Or HaChaim on Deut.,Or HaChaim on Deut	אור החיים על דברים		Commentary,Tanach,Torah,Deuteronomy
Or HaChaim on Exodus	Chaim ibn Attar							Or Hachaim on Exod.,Or Hachaim on Ex.,Or Hachaim on Exo,Or Hachaim on Shmot,Or Hachaim on Shemot,Or Hachaim on Ex,Or Hachaim on Exo.,Or Hachaim on Exod,Or Hachaim on Exodus,Or HaChaim on Exod.,Or HaChaim on Ex.,Or HaChaim on Exo,Or HaChaim on Shmot,Or HaChaim on Shemot,Or HaChaim on Ex,Or HaChaim on Exo.,Or HaChaim on Exod	אור החיים על שמות		Commentary,Tanach,Torah,Exodus
Or HaChaim on Genesis	Chaim ibn Attar							Or Hachaim on Bereshit,Or Hachaim on Gen,Or Hachaim on Gen.,Or Hachaim on Breishit,Or Hachaim on Ber,Or Hachaim on Bereishit,Or Hachaim on Ber.,Or Hachaim on Genesis,Or HaChaim on Bereshit,Or HaChaim on Gen,Or HaChaim on Gen.,Or HaChaim on Breishit,Or HaChaim on Ber,Or HaChaim on Bereishit,Or HaChaim on Ber.	אור החיים על בראשית		Commentary,Tanach,Torah,Genesis
Or HaChaim on Leviticus	Chaim ibn Attar							Or Hachaim on Vayikra,Or Hachaim on Lev.,Or Hachaim on Lev,Or Hachaim on Leviticus,Or HaChaim on Vayikra,Or HaChaim on Lev.,Or HaChaim on Lev	אור החיים על ויקרא		Commentary,Tanach,Torah,Leviticus
Or HaChaim on Numbers	Chaim ibn Attar							Or Hachaim on Num.,Or Hachaim on Num,Or Hachaim on Bamidbar,Or Hachaim on Bemidbar,Or Hachaim on Numbers,Or HaChaim on Num.,Or HaChaim on Num,Or HaChaim on Bamidbar,Or HaChaim on Bemidbar	אור החיים על במדבר		Commentary,Tanach,Torah,Numbers
Penei Dovid on Genesis	Ḥayyim Joseph David Azulay							Penei Dovid on Bereshit,Penei Dovid on Gen,Penei Dovid on Gen.,Penei Dovid on Breishit,Penei Dovid on Ber,Penei Dovid on Bereishit,Penei Dovid on Ber.	פני דוד על בראשית		Commentary,Tanach,Torah,Genesis
Rabbeinu Bachya on Genesis	Rabbeinu Bachya							Rabbeinu Bachya on Bereshit,Rabbeinu Bachya on Gen,Rabbeinu Bachya on Gen.,Rabbeinu Bachya on Breishit,Rabbeinu Bachya on Ber,Rabbeinu Bachya on Bereishit,Rabbeinu Bachya on Ber.	רבינו בחיי על בראשית		Commentary,Tanach,Torah,Genesis
Rabbeinu Chananel on Deuteronomy	Rabeinu Chananel							Rabbeinu Chananel on Deu.,Rabbeinu Chananel on Devarim,Rabbeinu Chananel on Deu,Rabbeinu Chananel on Deut.,Rabbeinu Chananel on Deut	ר' חננאל על דברים		Commentary,Tanach,Torah,Deuteronomy
Rabbeinu Chananel on Exodus	Rabeinu Chananel							Rabbeinu Chananel on Exod.,Rabbeinu Chananel on Ex.,Rabbeinu Chananel on Exo,Rabbeinu Chananel on Shmot,Rabbeinu Chananel on Shemot,Rabbeinu Chananel on Ex,Rabbeinu Chananel on Exo.,Rabbeinu Chananel on Exod	ר' חננאל על שמות		Commentary,Tanach,Torah,Exodus
Rabbeinu Chananel on Genesis	Rabeinu Chananel							Rabbeinu Chananel on Bereshit,Rabbeinu Chananel on Gen,Rabbeinu Chananel on Gen.,Rabbeinu Chananel on Breishit,Rabbeinu Chananel on Ber,Rabbeinu Chananel on Bereishit,Rabbeinu Chananel on Ber.	ר' חננאל על בראשית		Commentary,Tanach,Torah,Genesis
Rabbeinu Chananel on Leviticus	Rabeinu Chananel							Rabbeinu Chananel on Vayikra,Rabbeinu Chananel on Lev.,Rabbeinu Chananel on Lev	ר' חננאל על ויקרא		Commentary,Tanach,Torah,Leviticus
Rabbeinu Chananel on Numbers	Rabeinu Chananel							Rabbeinu Chananel on Num.,Rabbeinu Chananel on Num,Rabbeinu Chananel on Bamidbar,Rabbeinu Chananel on Bemidbar	ר' חננאל על במדבר		Commentary,Tanach,Torah,Numbers
Radak on Genesis	Radak							Radak on Bereshit,Radak on Gen,Radak on Gen.,Radak on Breishit,Radak on Ber,Radak on Bereishit,Radak on Ber.	רדק על בראשית		Commentary,Tanach,Torah,Genesis
Radak on II Kings	Radak							Radak on Melachim Bet,Radak on Melachim II,Radak on Second Kings,Radak on 2 Kings,Radak on II Melachim,Radak on Kings II,Radak on II Melakhim	רדק על מלכים ב	רדק על מ"ב,רדק על מ״ב,רדק על מלכים ב׳,רדק על מלכים ב'	Commentary,Tanach,Prophets,II Kings
Radak on II Samuel	Radak							Radak on 2Sam,Radak on Second Samuel,Radak on Shmuel Bet,Radak on Shmuel II,Radak on Samuel II,Radak on 2 Sam,Radak on II Shmuel,Radak on II Sam.,Radak on II Sam,Radak on 2Sam.,Radak on 2 Samuel,Radak on II Shemuel	רדק על שמואל ב	רדק על ש״ב,רדק על ש"ב,רדק על שמואל ב׳,רדק על שמואל ב'	Commentary,Tanach,Prophets,II Samuel
Radak on Nahum	Radak							Radak on Nah.,Radak on Nah	רדק על נחום		Commentary,Tanach,Prophets,Nahum
Radak on Psalms	Radak							Radak on Ps,Radak on Ps.,Radak on Psa,Radak on Tehilim,Radak on Psa.,Radak on Psalm,Radak on Tehillim	רדק על תהילים	רדק על תהלים	Commentary,Tanach,Writings,Psalms
Radak on Zechariah	Radak							Radak on Zech.,Radak on Zech,Radak on Zachariah,Radak on Zekharia,Radak on Zekharya	רדק על זכריה		Commentary,Tanach,Prophets,Zechariah
Ralbag on Ezra	Ralbag							Gersonides on Ezr.,Gersonides on Ezr,Gersonides on Ezra,Ralbag on Ezr.,Ralbag on Ezr	רלב"ג על עזרא		Commentary,Tanach,Writings,Ezra
Ralbag on I Chronicles	Ralbag							Gersonides on 1 Chronicles,Gersonides on 1Ch.,Gersonides on 1 Chron,Gersonides on 1 Chr,Gersonides on Chronicles I,Gersonides on I Chr,Gersonides on 1 Chron.,Gersonides on I Chr.,Gersonides on I Divrei HaYamim,Gersonides on Divrei HaYamim I,Gersonides on Divrei HaYamim Aleph,Gersonides on First Chronicles,Gersonides on 1Ch,Gersonides on I Divrei Ha-yamim,Gersonides on I Divrei Ha-Yamim,Gersonides on I Chronicles,Ralbag on 1 Chronicles,Ralbag on 1Ch.,Ralbag on 1 Chron,Ralbag on 1 Chr,Ralbag on Chronicles I,Ralbag on I Chr,Ralbag on 1 Chron.,Ralbag on I Chr.,Ralbag on I Divrei HaYamim,Ralbag on Divrei HaYamim I,Ralbag on Divrei HaYamim Aleph,Ralbag on First Chronicles,Ralbag on 1Ch,Ralbag on I Divrei Ha-yamim,Ralbag on I Divrei Ha-Yamim	רלב"ג על דברי הימים א	רלב"ג על דברי הימים א׳,רלב"ג על דברי בימים א'	Commentary,Tanach,Writings,I Chronicles
